apparently i ’ ve had my twitter account for 8 years now . 😂 😂 that ’ s sad ! #mytwitteranniversar	positive
not much brings me actual rage but ppl & their driving will piss me off every time .   	negative
“ who finna fuck ” everyone taking our saying @daizy199 😡 😡 👀	negative
you mean that sundog ? 🤣	positive
after knows wht people does with her talent 🤣	positive
omg king ilysm this is such an honour   @harrystaten	positive
“ ain ’ t nun of y ’ all hos on a pedal stool ” 😂	positive
bbc is the government propaganda channel . this is why we will always have a licence fee . 17 million voted leave must of been all working class and not privileged people like linekar !  	negative
rt @avengerslang : oh    oh fuck          fuck     sorry guys      i ’ m dropping my love  for amatw …	positive
going back is a terrible idea , but here i am .. melting over you . 😞	negative
it ’ s cinco de mayo and i ’ m ready for bed 😂 �	positive
my computer applications professor asked us to complete our course evaluation . lmao i let him have it for real 😂	positive
hmu with his tag lemme dab him up  	negative
my mood has been so 😞 for the last week . this rainy , gloomy weather doesn ’ t make it any better . i have 3 interviews this week and i need some motivation 😭 �	negative
this man and his goofy smile 💕	positive
“ now , if you ’ ll please follow me , i ’ ll show you to our salon , where you can get a sudden awareness of your own mortality and a chin-length bob . ” 🤣 @mizsant @pierogiarmada	positive
the way gas set up i can ’ t give nobody no ride 😭	negative
your girl checks my page every night before bed .   #heyboo �	positive
damn john broke a nail and i kept telling him over and over he was ughh 😤 👊 🏽 🤬 🤦	negative
yes hahahaha aish thank u  	positive
twitter , do your thing .. 	negative
if you ask me to go out to eat you ’ re paying for yourself 🤣 bitches really be out to get a free meal	positive
talks with my mom on the phone are funny af sometimes   her laugh is hilariou	positive
wanna go home sa hinatuan rn 😞	negative
i look so good in my prom dress if i dont lose my virginity imma be so mad 😡 �	negative
#good afternoon twitter 😓 😩 😫 😨 😱 😠 😡 😤 😖 😆 😋 😷 😎 😴 😵 😲 😟 😦 😧 😈 👿 😮 😬 😐 😕 😯 😶 😇	positive
i have the best boyff 😭 💖	negative
i fucking stan a table shaker 😂 😂 acid mouth 😂 😂 sis put you all in coma with one answer 😂 😂 nina le 😂 💖	positive
bless your heart gorgeous girl ! it means so much to me ! i so hope you enjoy it 💖 ☺ ️ 😘 💞	positive
slightly annoyed 😒 😠 think im ’ a just sleep the rest of the day away 🤷 🏽	negative
i was watching a good suspenseful as netflix movie & my macbook died 😭 😭	negative
i'm just detangling my hair casually and bumming my mans music and it just hit me that its been 10 months since i dropped everything and followed my actual passion . 😭 💖 now i'm in very lowkey thug tears .	positive
wish i could make out with @drake heard he a good kisser 😂 😂 😭	positive
bacon , eggs , pancakes 💖	positive
especially the cow remix of it 😤 ❤ ️ 😂 😂	negative
i have serious beef with self checkouts . i don ’ t like them . they don ’ t like me . but at least i have some fucking respect for boundaries . like , you can take a shot at me fine , but when you tell my mother to remove an non existent item from the bagging area you ’ ve gone too far ! 😤	negative
the name of my essay was dreams & nightmares 😂	positive
that moment you ’ re having sex in a public bathroom until someone walks into the next stall to take a 💩 😩 😳 😤 😮 🤢 🤮 #momentruined	negative
rt @bombonfairy : @honeypeachangel that ’ s going to be one of my favorite parts 😊 💖 📀	positive
bitches be wanting your whole life 😂	positive
i met nicky jam today my life is made @nickyjampr 💕 �	positive
just watched last nights episode of scandal and i seriously don ’ t know how i ’ m supposed to get through next weeks series finale 😭 😭 �	negative
#southwesternrailway i ’ m so pleased that you treat your railway neighbors with such contempt , this train has been sat on the stabling line since around 17.50 , that ’ s nearly 1.5 hours . in the summer , windows open . a pathetic company , i ’ ve attached a 20 second video . 😡	negative
"💖 tonight ! tonight ! tonight ! 💖 seysei will be holding the fort down tonight with her single release show and it will be an incredible show ! seysei - call me "" baby "" - single release show doors at 7pm #thecurtainclub #deepellum #music #localmusic #dallasmusic #dfw"	positive
feelings don't walk away , people do . 	negative
the livestream ended in the middle of iicf 😤	negative
can you go any fucking slower ? ? 😤 😤 �	negative
just really tired of not having time with the person i want to 💔	negative
why are people like this ? 🤣	positive
exuding big dick energy only 😤 😤	negative
literally cannot keep my my eyes open but this stupid restless leg syndrome has decided to play up & stopping me from falling asleep 😠	negative
( sorry i haven ’ t been on the past few days . i ’ m on a plane back home now so i ’ ll be back later tonight 💖 )	positive
s / o the guy who turned in my beats @ lifey 😤 �	negative
to a point where i can ’ t even be in there right now shit seriously sucks coming home to shit everytime  things don ’ t even seem to get better & sucks how are life ’ s are at this point !	negative
it ’ s hot asf today & people wanna be aggravating 😠	negative
i fcking love avril 😩 💖 🤘	positive
my heart ’ s hurting at the thought of leaving la in a couple of hours 💔	negative
lil durk and future are the best 2 artist alive and they will go down as the best to ever do it someone please try to argue with me 😤	negative
